Number,SparsityLevel,PSLL,Alpha,FinalResult
10,0.333333333333333,10.1394616456147,47,-5.52720502105197
10,0.333333333333333,10.1394616456147,47.5,-5.69387168771863
10,0.333333333333333,10.1394616456147,48,-5.8605383543853
10,0.333333333333333,10.1394616456147,48.5,-6.02720502105196
10,0.333333333333333,10.1394616456147,49,-6.19387168771863
10,0.333333333333333,10.1394616456147,49.5,-6.3605383543853
10,0.333333333333333,10.1394616456147,50,-6.52720502105196
10,0.333333333333333,10.1394616456147,50.5,-6.69387168771863
10,0.333333333333333,10.1394616456147,51,-6.8605383543853
10,0.333333333333333,10.1394616456147,51.5,-7.02720502105196
10,0.333333333333333,10.1394616456147,52,-7.19387168771863
10,0.333333333333333,10.1394616456147,52.5,-7.3605383543853
10,0.333333333333333,10.1394616456147,53,-7.52720502105196
10,0.333333333333333,10.1394616456147,53.5,-7.69387168771863
